Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L12     S2      
5-1     28      1.0919  0       0       0       45.963  -1.215  99.53   5.5948  0.4072  
5-2     27      1.0974  0       0       0       45.8    -1.464  99.53   5.5922  0.4085  
5-3     3       2.2344  0       0       0       27.04   -19.87  99.38   5.3436  0.5293  
5-4     1       9.4577  0       0       0       15.19   -67.33  98.76   5.3652  0.4     
5-5     8       1.5875  0       0       0       55.732  23.938  99.65   5.543   0.5297  
5-6     4       1.8046  0       0       0       34.55   -19.52  99.39   5.5368  0.4     
5-7     19      1.2775  0       0       0       45.235  10.662  99.59   5.4786  0.5312  
5-8     6       1.6693  0       0       0       32.206  -10.75  99.43   5.424   0.4981  
5-9     12      1.4457  0       0       0       35.251  -4.963  99.49   5.4269  0.5157  
5-10    20      1.2681  0       0       0       43.056  8.5921  99.59   5.4188  0.5712  
5-11    13      1.4457  0       0       0       35.251  -4.963  99.49   5.4269  0.5157  
5-12    24      1.2286  0       0       0       42.31   5.553   99.54   5.5082  0.4889  
5-13    14      1.4457  0       0       0       35.251  -4.963  99.49   5.4269  0.5157  
5-14    15      1.4457  0       0       0       35.251  -4.963  99.49   5.4269  0.5157  
5-15    21      1.2681  0       0       0       43.056  8.5921  99.59   5.4188  0.5712  
5-16    18      1.3809  0       0       0       36.406  -2.531  99.51   5.4124  0.5355  
5-17    2       8.6414  0       0       0       13.907  -58.27  98.71   5.3197  0.4275  
5-18    25      1.2195  0       0       0       43.109  6.1397  99.52   5.5485  0.4588  
5-19    5       1.7271  0       0       0       58.539  28.689  99.69   5.4815  0.6004  
5-20    11      1.4681  0       0       0       51.347  19.528  99.64   5.4752  0.5681  
5-21    26      1.135   0       0       0       44.763  -2.916  99.51   5.5937  0.4031  
5-22    7       1.5875  0       0       0       56.263  23.924  99.63   5.5836  0.4957  
5-23    9       1.5819  0       0       0       33.2    -8.548  99.46   5.4124  0.5144  
5-24    10      1.5819  0       0       0       33.2    -8.548  99.46   5.4124  0.5144  
5-25    30      1.0569  0       0       0       47.447  0.8596  99.54   5.5987  0.4102  
5-26    29      1.0613  0       0       0       48.842  2.7026  99.56   5.5954  0.4184  
5-27    16      1.4211  0       0       0       51.209  17.834  99.61   5.5535  0.4972  
5-28    23      1.289   0       0       0       38.818  -0.858  99.46   5.5499  0.434   
5-29    22      1.2681  0       0       0       43.056  8.5921  99.59   5.4188  0.5712  
5-30    17      1.392   0       0       0       36.556  -4.588  99.43   5.5364  0.4323  
---------------------------------------------------------------------
Average :       1.919   0       0       0       40.26   -2.02   99.48   
Optimum :       1.057   0       0       0       48.84   -0.86   99.69   
 
6-1     11      1.5163  0       0       0       37.919  -13.69  99.44   5.5521  0.4046  
6-2     9       1.6154  0       0       0       56.616  24.898  99.65   5.5512  0.5267  
6-3     17      1.3809  0       0       0       36.406  -2.531  99.51   5.4124  0.5355  
6-4     23      1.289   0       0       0       38.818  -0.858  99.46   5.5499  0.434   
6-5     24      1.2341  0       0       0       41.549  4.5644  99.54   5.4955  0.4955  
6-6     29      1.0541  0       0       0       48.085  1.7312  99.55   5.6     0.4118  
6-7     1       4.4961  0       0       0       21.911  -46.79  99.12   5.4256  0.4092  
6-8     6       1.7962  0       0       0       62.164  30.805  99.67   5.5936  0.515   
6-9     25      1.2286  0       0       0       42.31   5.553   99.54   5.5082  0.4889  
6-10    13      1.4457  0       0       0       35.251  -4.963  99.49   5.4269  0.5157  
6-11    20      1.2728  0       0       0       39.729  3.2646  99.56   5.4134  0.5556  
6-12    5       1.903   0       0       0       64.667  34.211  99.69   5.5589  0.5591  
6-13    8       1.7441  0       0       0       60.671  29.139  99.66   5.59    0.5112  
6-14    26      1.2302  0       0       0       40.932  2.4293  99.48   5.5654  0.4327  
6-15    4       1.9256  0       0       0       65.885  34.835  99.69   5.6     0.5265  
6-16    3       2.9454  0       0       0       23.761  -28.95  99.23   5.3919  0.4631  
6-17    12      1.4782  0       0       0       52.509  19.996  99.63   5.5298  0.5251  
6-18    2       3.2706  0       0       0       22.733  -32.38  99.14   5.4335  0.4229  
6-19    21      1.2798  0       0       0       39.29   2.3307  99.55   5.4217  0.5457  
6-20    10      1.5464  0       0       0       53.725  22.467  99.65   5.4867  0.5704  
6-21    18      1.2969  0       0       0       47.396  12.423  99.57   5.5582  0.4733  
